MSA,Year,Primary City in MSA,Primary State in MSA,Total Year-Round Beds (ES+TH)
"Pittsburgh, PA MSA",2017,Pittsburgh,PA,1052
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2008,Minneapolis,MN,4438
"Oklahoma City, OK MSA",2014,Oklahoma City,OK,1402
"Baltimore-Columbia-Towson, MD MSA",2019,Baltimore,MD,2498
"Tampa-St Petersburg-Clearwater, FL MSA",2010,Tampa,FL,3063
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2007,Philadelphia,PA,12403
"Richmond, VA MSA",2013,Richmond,VA,823
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2020,Miami,FL,4513
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2018,Philadelphia,PA,9511
"Oklahoma City, OK MSA",2015,Oklahoma City,OK,1377
"Cleveland-Elyria, OH MSA",2013,Cleveland,OH,1993
"Kansas City, MO-KS MSA",2022,Kansas City,KS,176
"Memphis, TN-MS-AR MSA",2021,Memphis,TN,892
"Providence-Warwick, RI-MA MSA",2021,Providence,MA,1252
"St. Louis, MO-IL MSA",2011,St. Louis,MO,1833
"Austin-Round Rock-Georgetown, TX MSA",2020,Austin,TX,968
"Dallas-Fort Worth-Arlington, TX MSA",2022,Dallas,TX,4776
"Tampa-St Petersburg-Clearwater, FL MSA",2009,Tampa,FL,2832
"Austin-Round Rock-Georgetown, TX MSA",2014,Austin,TX,1294
"Seattle-Tacoma-Bellevue, WA MSA",2017,Seattle,WA,7881
"Raleigh-Cary, NC MSA",2019,Raleigh,NC,1155
"Buffalo-Cheektowaga, NY MSA",2007,Buffalo,NY,1152
"Salt Lake City, UT MSA",2013,Salt Lake City,UT,1750
"Kansas City, MO-KS MSA",2015,Kansas City,KS,189
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2020,Minneapolis,MN,4248
"Oklahoma City, OK MSA",2009,Oklahoma City,OK,1133
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2017,Chicago,IL,6186
"Memphis, TN-MS-AR MSA",2022,Memphis,TN,1360
"Phoenix-Mesa-Chandler, AZ MSA",2019,Phoenix,AZ,4122
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,Los Angeles,CA,18996
"Kansas City, MO-KS MSA",2020,Kansas City,KS,137
"Fresno, CA MSA",2016,Fresno,CA,653
"Oklahoma City, OK MSA",2017,Oklahoma City,OK,1357
"Providence-Warwick, RI-MA MSA",2020,Providence,MA,1376
"San Francisco-Oakland-Berkeley, CA MSA",2020,San Francisco,CA,6056
"Las Vegas-Henderson-Paradise, NV MSA",2022,Las Vegas,NV,2705
"Pittsburgh, PA MSA",2009,Pittsburgh,PA,1337
"Detroit-Warren-Dearborn, MI MSA",2007,Detroit,MI,4942
"Pittsburgh, PA MSA",2021,Pittsburgh,PA,725
"Orlando-Kissimmee-Sanford, FL MSA",2020,Orlando,FL,1986
"Indianapolis-Carmel-Anderson, IN MSA",2012,Indianapolis,IN,1807
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2019,Chicago,IL,6071
"Raleigh-Cary, NC MSA",2010,Raleigh,NC,1832
"Denver-Aurora-Lakewood, CO MSA",2012,Denver,CO,4649
"Houston-The Woodlands-Sugar Land, TX MSA",2008,Houston,TX,3715
"Charlotte-Concord-Gastonia, NC-SC MSA",2015,Charlotte,NC,1808
"Seattle-Tacoma-Bellevue, WA MSA",2018,Seattle,WA,7923
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2010,Virginia Beach,VA,1426
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,Atlanta,GA,4768
"San Antonio-New Braunfels, TX MSA",2017,San Antonio,TX,2252
"Baltimore-Columbia-Towson, MD MSA",2020,Baltimore,MD,2491
"Baltimore-Columbia-Towson, MD MSA",2011,Baltimore,MD,2888
"New York-Newark-Jersey City, NY-NJ-PA MSA",2011,New York,NY,61762
"Sacramento-Roseville-Folsom, CA MSA",2017,Sacramento,CA,1431
"Seattle-Tacoma-Bellevue, WA MSA",2008,Seattle,WA,9284
"Riverside-San Bernardino-Ontario, CA MSA",2016,Riverside,CA,1737
"Denver-Aurora-Lakewood, CO MSA",2010,Denver,CO,4386
"Jacksonville, FL MSA",2021,Jacksonville,FL,1399
"Dallas-Fort Worth-Arlington, TX MSA",2007,Dallas,TX,6108
"Cleveland-Elyria, OH MSA",2014,Cleveland,OH,1916
"San Diego-Chula Vista-Carlsbad, CA MSA",2019,San Diego,CA,3859
"Houston-The Woodlands-Sugar Land, TX MSA",2021,Houston,TX,2735
"San Jose-Sunnyvale-Santa Clara, CA MSA",2017,San Jose,CA,1652
"Kansas City, MO-KS MSA",2008,Kansas City,KS,179
"Tampa-St Petersburg-Clearwater, FL MSA",2007,Tampa,FL,2432
"Milwaukee-Waukesha, WI MSA",2012,Milwaukee,WI,1528
"Memphis, TN-MS-AR MSA",2016,Memphis,TN,1552
"Riverside-San Bernardino-Ontario, CA MSA",2021,Riverside,CA,2293
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2015,Nashville,TN,2202
"St. Louis, MO-IL MSA",2012,St. Louis,MO,1930
"Columbus, OH MSA",2009,Columbus,OH,941
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2011,Chicago,IL,7673
"San Francisco-Oakland-Berkeley, CA MSA",2019,San Francisco,CA,5678
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2022,Nashville,TN,1344
"Cleveland-Elyria, OH MSA",2008,Cleveland,OH,1997
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2021,Philadelphia,PA,8331
"Columbus, OH MSA",2017,Columbus,OH,1229
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2012,Chicago,IL,7653
"Salt Lake City, UT MSA",2021,Salt Lake City,UT,1771
"Phoenix-Mesa-Chandler, AZ MSA",2014,Phoenix,AZ,5559
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2008,Chicago,IL,7793
"Detroit-Warren-Dearborn, MI MSA",2019,Detroit,MI,2234
"Seattle-Tacoma-Bellevue, WA MSA",2014,Seattle,WA,8305
"Indianapolis-Carmel-Anderson, IN MSA",2022,Indianapolis,IN,1602
"Seattle-Tacoma-Bellevue, WA MSA",2020,Seattle,WA,8513
"Houston-The Woodlands-Sugar Land, TX MSA",2007,Houston,TX,4255
"Memphis, TN-MS-AR MSA",2007,Memphis,TN,1745
"San Diego-Chula Vista-Carlsbad, CA MSA",2008,San Diego,CA,2312
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,Los Angeles,CA,18926
"Charlotte-Concord-Gastonia, NC-SC MSA",2017,Charlotte,NC,1389
"Birmingham-Hoover, AL MSA",2011,Birmingham,AL,1235
"St. Louis, MO-IL MSA",2015,St. Louis,MO,1749
"Louisville/Jefferson County, KY-IN MSA",2015,Louisville,KY,1062
"Riverside-San Bernardino-Ontario, CA MSA",2007,Riverside,CA,2628
"Las Vegas-Henderson-Paradise, NV MSA",2020,Las Vegas,NV,2250
"Dallas-Fort Worth-Arlington, TX MSA",2012,Dallas,TX,5826
"Charlotte-Concord-Gastonia, NC-SC MSA",2009,Charlotte,NC,1760
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2022,Washington,DC,8182
"San Diego-Chula Vista-Carlsbad, CA MSA",2007,San Diego,CA,2203
"San Francisco-Oakland-Berkeley, CA MSA",2010,San Francisco,CA,5706
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2013,Chicago,IL,7460
"San Diego-Chula Vista-Carlsbad, CA MSA",2012,San Diego,CA,4275
"Detroit-Warren-Dearborn, MI MSA",2010,Detroit,MI,4075
"Seattle-Tacoma-Bellevue, WA MSA",2013,Seattle,WA,8528
